# lon lat uLOS sigLOS losE losN losU
85.03708000 28.01208300 -0.04117517 0.07841472 0.69507000 -0.12028000 0.70881000
85.06875000 28.01208300 -0.03188494 0.05927589 0.69297000 -0.12008000 0.71090000
85.06875000 27.98708300 0.14584851 0.06159138 0.69269000 -0.12008000 0.71117000
85.10125000 27.98708300 0.13576024 0.07181990 0.69013000 -0.11982000 0.71369000
85.10125000 28.01208300 -0.07566641 0.09709302 0.69037000 -0.11981000 0.71347000
85.13292000 28.01208300 -0.19249861 0.08827608 0.68849000 -0.11968000 0.71530000
85.13292000 27.98708300 0.12261240 0.07488013 0.68771000 -0.11958000 0.71607000
85.10125000 27.93625000 0.47160855 0.03733696 0.68906000 -0.11974000 0.71475000
85.10125000 27.96125000 0.30855066 0.07149724 0.68960000 -0.11978000 0.71421000
85.13292000 27.96125000 0.29591650 0.06440736 0.68740000 -0.11958000 0.71636000
85.13292000 27.93625000 0.46217801 0.06087243 0.68687000 -0.11953000 0.71689000
85.03708000 28.03791700 -0.14154880 0.04171681 0.69522000 -0.12025000 0.70867000
85.03708000 28.06291700 -0.27801758 0.05221972 0.69607000 -0.12034000 0.70782000
85.06875000 28.06291700 -0.35155557 0.04585995 0.69411000 -0.12020000 0.70977000
85.06792000 28.03791700 -0.21009776 0.06048314 0.69362000 -0.12014000 0.71026000
85.05292000 28.10041700 -0.43237964 0.06798067 0.69555000 -0.12028000 0.70834000
85.11708000 28.10041700 -0.52341345 0.03775052 0.69191000 -0.12001000 0.71194000
85.10125000 28.03791700 -0.28485001 0.05879648 0.69096000 -0.11988000 0.71288000
85.10125000 28.06291700 -0.42397638 0.04531366 0.69182000 -0.11998000 0.71203000
85.13292000 28.06291700 -0.50130585 0.03850777 0.68980000 -0.11981000 0.71402000
85.13292000 28.03791700 -0.35237152 0.06549878 0.68960000 -0.11982000 0.71421000
85.21292000 28.07625000 -0.58494427 0.06083176 0.68330000 -0.11911000 0.72036000
85.16542000 27.93625000 0.45571680 0.05578494 0.68452000 -0.11931000 0.71917000
85.16542000 27.96125000 0.29344473 0.07016449 0.68490000 -0.11933000 0.71880000
85.19708000 27.96125000 0.26060928 0.06241272 0.68297000 -0.11916000 0.72066000
85.19708000 27.93625000 0.41105426 0.04102813 0.68248000 -0.11912000 0.72114000
85.16542000 27.98708300 0.07210123 0.09404201 0.68535000 -0.11936000 0.71837000
85.16542000 28.01208300 -0.16515195 0.07562524 0.68590000 -0.11941000 0.71783000
85.19792000 28.01208300 -0.23143256 0.10698013 0.68368000 -0.11921000 0.71998000
85.19708000 27.98708300 0.00641330 0.11369158 0.68331000 -0.11917000 0.72034000
85.22875000 27.98708300 -0.00782372 0.09565421 0.68109000 -0.11896000 0.72247000
85.22875000 28.01208300 -0.29619244 0.06954892 0.68207000 -0.11909000 0.72152000
85.26042000 28.01208300 -0.24150388 0.08353146 0.67930000 -0.11880000 0.72418000
85.26042000 27.98708300 -0.03469632 0.06446994 0.67884000 -0.11876000 0.72461000
85.22875000 27.93625000 0.35899207 0.05485601 0.68030000 -0.11893000 0.72322000
